Experiment,Genotype,AllReversals_Length,AllReversals_Speed,AllReversals_Duration,ReversalOmegas_Length,ReversalOmegas_Speed,ReversalOmegas_Duration,PureReversals_Length,PureReversals_Speed,PureReversals_Duration,ForwardRuns_Speed,ForwardRuns_Duration,EventsPerAnimalPerMin_AllReversals,EventsPerAnimalPerMin_ReversalOmegas,EventsPerAnimalPerMin_PureReversals,EventsPerAnimalPerMin_LongReversals,EventsPerAnimalPerMin_ShortReversals,EventsPerAnimalPerMin_ForwardRuns,EventsPerAnimalPerMin_Pauses
RIMHisCl_RIMGapJunctionKD,RIMHisCl_RIMGapJunctionKD_HIS,0.424925118684769,0.194191604852676,3,0.356845587491989,0.127550259232521,3.66665649414062,0.424925118684769,0.194191604852676,3,0.112715989351273,6.66665649414062,0,0,0,0,0,0.6,0
,,0.356845587491989,0.127550259232521,3.66665649414062,0.307518124580383,0.0790388733148575,4.99998474121094,0.332811146974564,0.104083895683289,5,0.110411122441292,29,0.6,0.2,0.4,0.2,0.4,1.4,0
,,1.60318887233734,0.180560499429703,9,0.600443959236145,0.166827172040939,3.66665649414062,0.148035064339638,0.171964839100838,8.33332824707031,0.223616927862167,20.6666564941406,1,0.6,0.4,0.8,0.2,1.8,0
,,0.148035064339638,0.171964839100838,8.33332824707031,0.319257795810699,0.114718124270439,3,0.133114635944366,0.126893177628517,2.33334350585938,0.139814913272858,7,0.2,0,0,0,0.2,3,2.2
,,0.524019360542297,0.131096869707108,3.66668701171875,0.527855455875397,0.125743195414543,20.6666564941406,0.196056962013245,0.179525554180145,1,0.190777137875557,26.6666564941406,0,0,0,0,0,0.4,0
,,0.133114635944366,0.126893177628517,2.33334350585938,0.715022385120392,0.160479605197906,4.66665649414062,0.272920161485672,0.139404729008675,3.33331298828125,0.220314055681229,11.3333435058594,0,0,0,0,0,0.8,0
,,0.0419380515813828,0.0874545648694038,3,0.967114269733429,0.144568920135498,8,0.267427682876587,0.116428777575493,3.66665649414062,0.187167674303055,74.3333435058594,0,0,0,0,0,0.6,0.2
,,0.196056962013245,0.179525554180145,1,0.533755242824554,0.162214711308479,3.33334350585938,0.736289978027344,0.103582635521889,6,0.225046187639236,17.3333282470703,0.6,0,0.2,0.4,0.2,1.8,0.4
,,0.0760133564472198,0.153901219367981,1.33332824707031,1.50842785835266,0.176148116588593,11.6666564941406,0.090506985783577,0.0779494047164917,2.33334350585938,0.131788849830627,5.66665649414062,0,0,0,0,0,0.4,0
,,0.307518124580383,0.0790388733148575,4.99998474121094,0.570448398590088,0.112859606742859,5,2.8850371837616,0.22478398680687,11.6666564941406,0.0202691406011581,30.3333435058594,1,0.2,0.6,0.4,0.6,5.6,0.2
