Experiment,Genotype,AllReversals_Length,AllReversals_Speed,AllReversals_Duration,ReversalOmegas_Length,ReversalOmegas_Speed,ReversalOmegas_Duration,PureReversals_Length,PureReversals_Speed,PureReversals_Duration,ForwardRuns_Speed,ForwardRuns_Duration,EventsPerAnimalPerMin_AllReversals,EventsPerAnimalPerMin_ReversalOmegas,EventsPerAnimalPerMin_PureReversals,EventsPerAnimalPerMin_LongReversals,EventsPerAnimalPerMin_ShortReversals,EventsPerAnimalPerMin_ForwardRuns,EventsPerAnimalPerMin_Pauses
chronic_histamine_treatment,RIMHisCl_NOhis,0.165104672312737,0.0713908076286316,2,0.125054880976677,0.0705889761447906,3.33334350585938,0.165104672312737,0.0713908076286316,2,0.119285888969898,41.3333435058594,0,0,0,0,0,0.8,0.6
,,0.555407106876373,0.10792650282383,3.66665649414062,0.722086608409882,0.142295688390732,4,0.555407106876373,0.10792650282383,3.66665649414062,0.089777946472168,5.33334350585938,1.4,0.4,0.8,0.4,1,2,0.4
,,0.209172919392586,0.108324453234673,3,0.925604045391083,0.140093713998795,6,0.209172919392586,0.108324453234673,9,0.20162071287632,45,2,0,1.6,0.8,1.2,3.8,3.6
,,0.125054880976677,0.0705889761447906,3.33334350585938,1.24220407009125,0.184006482362747,6.66668701171875,1.17883968353271,0.169653326272964,1,0.123067744076252,24,0,0,0,0,0,1,0
,,0.722086608409882,0.142295688390732,4,0.279487282037735,0.0885206013917923,3,0.194707825779915,0.154418170452118,1,0.124167904257774,3.66665649414062,1.2,0.6,0.4,0.6,0.6,1.6,0
,,1.17883968353271,0.169653326272964,9,0.137508273124695,0.057685773819685,3.66668701171875,0.218947499990463,0.185495495796204,4.66665649414062,0.16916911303997,92,2,1,0.8,0.6,1.4,2.2,0.8
,,0.925604045391083,0.140093713998795,6,0.297486692667007,0.0821796208620071,4.33332824707031,0.560417473316193,0.132262706756592,4.33331298828125,0.0464820265769958,3.33331298828125,2.2,0.6,1.4,1,1.4,2.2,0.4
,,1.21081149578094,0.175161182880402,6.66665649414062,1.24864065647125,0.175137102603912,6.66668701171875,0.387274950742722,0.13065430521965,1,0.189135953783989,8.66668701171875,1,0,0.6,0.4,0.6,1.6,0.4
,,0.218947499990463,0.185495495796204,1,0.967824518680573,0.0919400304555893,18.3333129882812,0.231974765658379,0.191944554448128,1,0.172185719013214,18.6666564941406,0.8,0.6,0.2,0.8,0,1.4,0.6
,,1.24220407009125,0.184006482362747,6.66668701171875,0.110480077564716,0.0444518774747849,2,0.437050044536591,0.154975280165672,10.3333435058594,0.163452982902527,107.666687011719,0,0,0,0,0,0,0
,,0.207923382520676,0.0960993617773056,3,0.966224908828735,0.204686254262924,5,0.170830115675926,0.0746674388647079,1.33332824707031,0.168472409248352,20.6666717529297,0.8,0.2,0.6,0.4,0.6,0.8,0
,,0.387274950742722,0.13065430521965,4.33331298828125,0.71366810798645,0.137451469898224,4.66667175292969,0.185231640934944,0.120740160346031,4,0.0876587405800819,32.6666564941406,0.8,0.2,0.2,0.4,0.4,1.2,0.2
,,0.231974765658379,0.191944554448128,1,1.69144427776337,0.188897177577019,10.6666564941406,1.70723533630371,0.165453165769577,3.33334350585938,0.154269099235535,44.9999847412109,1.4,0.6,0.2,0.8,0.6,1.6,0.2
,,0.279487282037735,0.0885206013917923,3,1.07814991474152,0.198382452130318,5,0.115860112011433,0.0898274704813957,4,0.145996332168579,25.6666564941406,0.6,0.2,0.2,0.4,0.2,0.4,0
,,0.137508273124695,0.057685773819685,3.66668701171875,1.9596586227417,0.157631978392601,11.6666717529297,0.124295979738235,0.0834472477436066,4.66667175292969,0.222257882356644,2.66668701171875,0,0,0,0,0,1.4,0.6
,,0.437050044536591,0.154975280165672,3.66668701171875,0.734861373901367,0.189455762505531,4,0.645031929016113,0.151948288083076,4.33334350585938,0.176598101854324,8.33332824707031,0.2,0,0,0,0.2,0.6,0.2
,,0.170830115675926,0.0746674388647079,2,0.165753588080406,0.123258098959923,2,0.304190427064896,0.160856693983078,1.33334350585938,0.15771496295929,18,0,0,0,0,0,0,0
,,0.297486692667007,0.0821796208620071,4.33332824707031,1.16218483448029,0.217043966054916,5,0.486550629138947,0.159169316291809,2.33332824707031,0.100142076611519,11.6666870117188,0.8,0.2,0.2,0.6,0.2,1.6,0.6
,,0.185231640934944,0.120740160346031,1,1.16513049602509,0.157267242670059,7.66665649414062,0.56181001663208,0.117874771356583,1,0.19506248831749,2,0.4,0,0.2,0,0.4,2.2,0.2
,,0.508522212505341,0.128256097435951,4.33331298828125,0.638493597507477,0.154876679182053,4.66665649414062,0.890839993953705,0.191726744174957,3,0.177920669317245,72.3333435058594,0.6,0.2,0.2,0.2,0.4,1.6,0.2
