Experiment,Genotype,AllReversals_Length,AllReversals_Speed,AllReversals_Duration,ReversalOmegas_Length,ReversalOmegas_Speed,ReversalOmegas_Duration,PureReversals_Length,PureReversals_Speed,PureReversals_Duration,ForwardRuns_Speed,ForwardRuns_Duration,EventsPerAnimalPerMin_AllReversals,EventsPerAnimalPerMin_ReversalOmegas,EventsPerAnimalPerMin_PureReversals,EventsPerAnimalPerMin_LongReversals,EventsPerAnimalPerMin_ShortReversals,EventsPerAnimalPerMin_ForwardRuns,EventsPerAnimalPerMin_Pauses
tbh-1_tetanustoxin,wild-type,0.741288661956787,0.151445478200912,4.66667175292969,0.741288661956787,0.151445478200912,4.66667175292969,0.15522512793541,0.103520020842552,2.66665649414062,0.187613517045975,17.0000152587891,2,1.2,1,1.4,0.8,2,0.8
,,0.445489048957825,0.104556664824486,4,1.58351159095764,0.263153374195099,6.33334350585938,1.02072715759277,0.205844283103943,5,0.169788718223572,94.3333282470703,0.4,0,0.2,0.2,0.2,0.8,0.4
,,1.10286951065063,0.19524584710598,7.00001525878906,1.25080323219299,0.23305806517601,6.33332824707031,0.367101490497589,0.116611503064632,2,0.067878246307373,34.6666564941406,0,0,0,0,0,0.4,0.4
,,0.210478901863098,0.0934252738952637,5,0.610242068767548,0.161637961864471,3.66665649414062,0.471009910106659,0.229990020394325,1.66665649414062,0.202718943357468,5,1,0.4,0.4,1,0.2,1.6,0.4
,,0.724850594997406,0.166896492242813,5,0.460464775562286,0.149689793586731,3.33332824707031,0.977715730667114,0.241354018449783,4.66665649414062,0.180463045835495,43,1.4,0.4,0.8,0.8,0.6,2,1.6
,,0.471009910106659,0.229990020394325,1.66665649414062,0.63435423374176,0.165177047252655,4.33334350585938,0.0903012230992317,0.109925538301468,1.33334350585938,0.165413662791252,153.333312988281,0.2,0,0,0.2,0,0.4,0.2
,,1.58351159095764,0.263153374195099,6.33334350585938,1.12741565704346,0.19024546444416,7.66665649414062,0.260513067245483,0.114569574594498,2.66665649414062,0.231094941496849,2.33334350585938,1,0.8,0.6,0.6,0.8,1,0.2
,,1.25080323219299,0.23305806517601,6.33332824707031,1.26058483123779,0.240337491035461,5.66665649414062,0.38801971077919,0.195723116397858,1.66667175292969,0.232621967792511,42.9999847412109,1,1.2,0.2,1,0.2,2,0.2
,,0.977715730667114,0.241354018449783,4.66665649414062,0.967213451862335,0.224368244409561,4.66665649414062,0.12789748609066,0.0668151900172234,1.66665649414062,0.239125266671181,6,2,1.2,0.4,1.2,0.8,2.6,0.4
,,0.610242068767548,0.161637961864471,3.66665649414062,0.515997350215912,0.170967429876328,3,0.10242460668087,0.0773255676031113,1,0.253683567047119,114.666687011719,1.4,0.4,1,0.8,0.6,1.4,0.2
,,0.460464775562286,0.149689793586731,3.33332824707031,0.9726881980896,0.190064787864685,4.33331298828125,0.867449522018433,0.161105334758759,0.66668701171875,0.169089928269386,3,0.8,0.2,0.6,0.2,0.6,1,0.4
,,0.63435423374176,0.165177047252655,4.33334350585938,0.34767147898674,0.120836436748505,3.33331298828125,0.372975558042526,0.333252876996994,2.33334350585938,0.273277580738068,19.6666564941406,1,0.4,0.4,0.6,0.4,1.4,0.2
,,1.12741565704346,0.19024546444416,7.66665649414062,0.939322531223297,0.168124452233315,5.33332824707031,0.162131607532501,0.230136334896088,2,0.281927585601807,5.66665649414062,1.4,0.6,0.2,1.2,0.2,1.6,0.4
,,1.26058483123779,0.240337491035461,5.66665649414062,1.09129047393799,0.204966336488724,4.66665649414062,0.207767128944397,0.100516051054001,2.33331298828125,0.255603075027466,23.0000152587891,0.2,0.2,0,0.2,0,0.2,0.2
,,0.0903012230992317,0.109925538301468,1.33334350585938,0.78124076128006,0.182551294565201,4,0.193358242511749,0.108769491314888,1,0.216887980699539,54.3333282470703,1.4,0.6,0.8,0.8,0.6,2.2,1.4
,,0.260513067245483,0.114569574594498,2,0.80503785610199,0.213047027587891,3.33332824707031,0.425178021192551,0.165610939264297,1.66665649414062,0.187554657459259,12.3333129882812,0.6,0.4,0.2,0.4,0.2,3,0.2
,,0.38801971077919,0.195723116397858,2.66665649414062,0.742477774620056,0.17692443728447,4.66665649414062,0.0965121984481812,0.108872659504414,7,0.142135381698608,9.66668701171875,0.2,0,0.2,0,0.2,0.8,0.4
,,0.967213451862335,0.224368244409561,4.66665649414062,0.819843530654907,0.192614674568176,3.66665649414062,0.247695192694664,0.204056829214096,4.33334350585938,0.143347024917603,30.9999847412109,0.2,0,0.2,0.2,0,0.8,0
,,0.522643089294434,0.136215299367905,4,0.803830027580261,0.195532068610191,4.66668701171875,0.172933638095856,0.0836611092090607,0.66668701171875,0.189235329627991,8.00001525878906,0.6,0.2,0.4,0.4,0.2,1.6,0.4
,,0.9726881980896,0.190064787864685,4.33331298828125,0.863589346408844,0.215997636318207,2,1.17285847663879,0.174423426389694,2,0.152880519628525,4.33334350585938,1.2,0.6,0.4,1.2,0,2.6,0.6
,,0.12789748609066,0.0668151900172234,1.66667175292969,0.679556727409363,0.090315654873848,3.66665649414062,0.593689858913422,0.126325100660324,2.33334350585938,0.184811949729919,18,0.4,0.2,0.2,0.2,0.2,1.4,0
,,0.34767147898674,0.120836436748505,3.33331298828125,1.2455495595932,0.239883244037628,5.66665649414062,0.213667765259743,0.118354573845863,7.66665649414062,0.154876232147217,7,3.4,2.2,0.6,2.2,1.4,3.6,1
,,0.939322531223297,0.168124452233315,5.33332824707031,0.606072723865509,0.192072510719299,5.66665649414062,0.0524641051888466,0.0528162308037281,2.66667175292969,0.063543513417244,3.33332824707031,0.2,0.2,0,0,0.2,0.4,0
,,0.317819982767105,0.13996510207653,3,0.380074083805084,0.141980662941933,4.66665649414062,0.963648676872253,0.189903885126114,3,0.191847205162048,26.0000152587891,0.8,0.6,0.2,1,0,2.4,0.8
,,0.78124076128006,0.182551294565201,4,0.101842828094959,0.105805940926075,2.33331298828125,0.067798525094986,0.086159348487854,4.33334350585938,0.118721202015877,2,1,0.6,0.2,0.4,0.6,1.4,0.2
,,0.10242460668087,0.0773255676031113,1.66665649414062,0.56378561258316,0.123264312744141,5.33332824707031,1.41056001186371,0.222864240407944,4.33334350585938,0.135566577315331,81,0,0,0,0,0,0.8,0.2
,,1.19773733615875,0.222251325845718,5,0.0749386474490166,0.0426239296793938,3.66667175292969,0.0241615399718285,0.0762467533349991,1,0.192987084388733,2.33334350585938,1.8,1.2,0.6,1.4,0.6,4,0.4
,,0.742477774620056,0.17692443728447,4.66665649414062,1.45894992351532,0.265472918748856,4.33334350585938,0.271439105272293,0.119100883603096,3.33331298828125,0.163316667079926,60.3333282470703,0.8,0.4,0.4,0.4,0.6,1.4,0
,,0.819843530654907,0.192614674568176,3.66665649414062,1.01521623134613,0.199799120426178,3,0.367835015058517,0.0874837934970856,4,0.269531458616257,26,1,0.6,0,1,0.2,2.8,0.4
,,0.803830027580261,0.195532068610191,4.66668701171875,0.893651127815247,0.186738789081573,6.66665649414062,0.430892884731293,0.144023448228836,2.33334350585938,0.187079161405563,65.0000152587891,1.4,0.6,0.6,0.8,0.6,2.2,0.8
,,0.867449522018433,0.161105334758759,5.66668701171875,1.08628284931183,0.192917793989182,5.33334350585938,0.293196439743042,0.25049215555191,1.66665649414062,0.243266820907593,12,1,0.6,0.4,1,0.2,2,0
,,0.372975558042526,0.333252876996994,1,1.50282669067383,0.241160750389099,4.66665649414062,0.243287324905396,0.134557157754898,1,0.265402257442474,54.9999847412109,0.4,0.4,0,0.4,0,1.2,0
,,0.223818942904472,0.145799174904823,3.66667175292969,1.07993352413177,0.165081188082695,8.33331298828125,1.14630663394928,0.166400596499443,1.66665649414062,0.219848066568375,29.6666564941406,1,0.4,0.8,0.8,0.4,2,0.2
,,0.787147700786591,0.204742819070816,3.66668701171875,0.329184800386429,0.0739271640777588,5.66665649414062,0.174733102321625,0.154191523790359,2.66665649414062,0.23339432477951,28.3333129882812,1,0.2,0.6,0.6,0.4,2,0.6
,,0.207767128944397,0.100516051054001,2.33334350585938,0.661825239658356,0.194380313158035,6,0.0314299762248993,0.0792647004127502,1,0.206624239683151,43.6666564941406,0.6,0.2,0.2,0.2,0.4,0.8,0.2
,,0.074794165790081,0.0718291327357292,4.33334350585938,1.92086243629456,0.245090693235397,6,0.155113875865936,0.0908547192811966,1.33334350585938,0.245496064424515,66,0.2,0.2,0,0.2,0,0.6,0.2
,,1.2455495595932,0.239883244037628,5.66665649414062,0.741191625595093,0.181132972240448,6.66665649414062,0.297784715890884,0.235168755054474,2,0.204498678445816,5.66667175292969,1.4,1.2,0.2,1.4,0.2,2.2,0.2
,,0.193358242511749,0.108769491314888,2.66665649414062,0.642349004745483,0.203714847564697,4,0.220064580440521,0.0990086495876312,5.66665649414062,0.212536633014679,65,1.4,0.8,0.8,0.8,0.8,1.6,0
